                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1569,                 40.085,                 2.4259,                 2.8951,                 53.521,                 1.6928,                      0,                      0,                      0,                      0,                      0,                 2.4133,                      0,                      0,                 2.2284,                      0,             0.00066296,             0.00066296,             0.00066296
                      2,                 3.5483,                 6.6997,                 1.7649,                 3.3293,                 8.9235,                 1.6125,                      0,                      0,                      0,                      0,                 1.8543,                 1.5271,                0.77577,                 1.1593,                 1.1912,                0.49968,               0.001198,               0.001198,               0.001198
                      3,                 2.8778,                 3.1449,                 1.4738,                 2.6944,                 3.8576,                 1.3367,                      0,                      0,                      0,                      0,                 1.3654,                0.99563,                0.55082,                 1.5154,                 1.0967,                0.52107,               0.001601,               0.001601,               0.001601
                      4,                 2.4193,                 1.9472,                 1.3084,                 2.3945,                 2.4678,                 1.2181,                      0,                      0,                      0,                      0,                 2.0878,                  1.192,                0.63387,                 1.7407,                 1.2327,                0.52241,               0.001406,               0.001406,               0.001406
                      5,                 2.0635,                 1.3927,                 1.1983,                 2.1405,                 1.7699,                 1.1384,                      0,                      0,                      0,                      0,                 1.8217,                 1.5562,                0.49731,                 1.3197,                 1.0692,                0.36599,               0.001406,               0.001406,               0.001406
                      6,                 1.7903,                 1.1517,                 1.1067,                 1.9064,                 1.3818,                 1.0676,                0.00333,                      1,                 0.4975,                0.14925,                 3.0804,                 2.1479,                0.88822,                 1.7767,                 1.7556,                0.62465,               0.001208,               0.001208,               0.001208
                      7,                 1.5831,                 0.9769,                 1.0515,                  1.771,                 1.1875,                 1.0247,                0.34229,                      1,                  0.995,                 0.0995,                 2.8574,                 1.4175,                 0.8636,                 1.8727,                0.85123,                0.57304,                0.00101,                0.00101,                0.00101
                      8,                 1.4996,                0.89215,                 1.0109,                 1.6835,                 1.0251,                0.99076,                0.36489,                      1,                  0.995,                 0.6965,                 2.3838,                 1.4517,                0.94277,                  1.132,                  1.234,                0.75051,               0.000812,               0.000812,               0.000812
                      9,                 1.3533,                0.82074,                0.97102,                 1.5457,                0.92501,                0.95311,                0.00333,                      1,                 0.4975,                0.04975,                 2.2726,                 1.3423,                0.73416,                 1.8608,                 0.9291,                0.55283,               0.000614,               0.000614,               0.000614
                     10,                 1.2985,                0.75185,                0.95552,                 1.5065,                0.84791,                0.95206,                0.00333,                      1,                 0.4975,                 0.0995,                 2.2609,                 1.7456,                0.72392,                 1.8694,                 1.0158,                0.57229,               0.000416,               0.000416,               0.000416
