frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1,2174.2708221290586 1162.8606126897416 2782.647627147825 1735.496420345226,2430.137451171875 1566.021240234375 2578.9677734375 1625.5528564453125,0.8911144137382507,NV51VSU,0.1959156140621556
2,1,2174.613999550507 1166.875811388237 2784.3068759805274 1741.03288391866,2430.6817220052085 1573.7312825520833 2577.8080240885415 1631.3741455078125,0,0,0
3,1,2174.957176971955 1170.8910100867322 2785.96612481323 1746.569347492094,2431.2259928385415 1581.4413248697917 2576.6482747395835 1637.1954345703125,0,0,0
4,1,2175.3003543934033 1174.9062087852276 2787.6253736459325 1752.105811065528,2431.770263671875 1589.1513671875 2575.488525390625 1643.0167236328125,0.8426898121833801,HU51NSU,0.1409922009862606
5,1,2175.5211627878716 1178.7959813830744 2786.8660820851037 1755.13501183457,2430.2890625 1590.6214599609375 2581.94384765625 1650.76220703125,0.40624576807022095,HL51YSU,0.20671221830521114
6,1,2177.386922408172 1184.0377954132737 2791.998533326498 1763.4892129619645,2431.9122314453125 1595.9823303222656 2583.2349853515625 1656.1440124511719,0,0,0
7,1,2179.252682028472 1189.279609443473 2797.1309845678925 1771.8434140893592,2433.535400390625 1601.3432006835938 2584.526123046875 1661.5258178710938,0,0,0
8,1,2181.1184416487727 1194.521423473672 2802.2634358092864 1780.197615216754,2435.1585693359375 1606.7040710449219 2585.8172607421875 1666.9076232910156,0,0,0
9,1,2182.984201269073 1199.7632375038713 2807.395887050681 1788.5518163441486,2436.78173828125 1612.06494140625 2587.1083984375 1672.2894287109375,0.8971981406211853,ML51VSU,0.6720713783164494
10,1,2183.7853542905063 1204.8990491841896 2810.6421668442763 1795.5457330361573,2437.6060791015625 1622.55419921875 2586.6561279296875 1677.2902221679688,0,0,0
11,1,2184.58650731194 1210.0348608645077 2813.8884466378718 1802.5396497281658,2438.430419921875 1633.04345703125 2586.203857421875 1682.291015625,0.32520246505737305,ML51VSU,0.49078836387410457
12,1,2184.634416354005 1212.047020629657 2816.359407999874 1807.9752226642704,2439.666707356771 1638.0466715494792 2587.90478515625 1688.4561157226562,0,0,0
13,1,2184.68232539607 1214.0591803948064 2818.830369361876 1813.410795600375,2440.9029947916665 1643.0498860677083 2589.605712890625 1694.6212158203125,0,0,0
14,1,2184.730234438135 1216.0713401599555 2821.301330723878 1818.8463685364795,2442.1392822265625 1648.0531005859375 2591.306640625 1700.7863159179688,0,0,0
15,1,2184.7781434802005 1218.083499925105 2823.7722920858805 1824.2819414725839,2443.3755696614585 1653.0563151041667 2593.007568359375 1706.951416015625,0,0,0
16,1,2184.826052522266 1220.0956596902543 2826.2432534478826 1829.7175144086884,2444.611857096354 1658.0595296223958 2594.70849609375 1713.1165161132812,0,0,0
17,1,2184.873961564331 1222.1078194554036 2828.7142148098847 1835.153087344793,2445.84814453125 1663.062744140625 2596.409423828125 1719.2816162109375,0.9239941835403442,ML51VSU,0.4880858541257107
18,1,2182.133000670983 1228.609799562642 2826.7826935561015 1842.6520828275025,2446.9881591796875 1672.6188354492188 2598.7362060546875 1725.3358154296875,0,0,0
19,1,2179.392039777636 1235.11177966988 2824.851172302319 1850.1510783102117,2448.128173828125 1682.1749267578125 2601.06298828125 1731.3900146484375,0.8563605546951294,MD51YSU,0.08635691653127162
20,1,2181.3277757514784 1237.8321916371608 2833.205541884546 1856.266681277163,2450.694580078125 1687.902587890625 2602.53271484375 1741.450927734375,0.9266977310180664,MT51VSU,0.10806331768010356
21,1,2181.93367394916 1244.0003428635034 2838.1079542508833 1865.3702073894813,2452.0726928710938 1694.8063354492188 2604.4443359375 1748.0757446289062,0,0,0
22,1,2182.5395721468412 1250.1684940898463 2843.01036661722 1874.4737335017994,2453.4508056640625 1701.7100830078125 2606.35595703125 1754.7005615234375,0,0,0
23,1,2183.145470344523 1256.3366453161889 2847.912778983557 1883.5772596141178,2454.8289184570312 1708.6138305664062 2608.267578125 1761.3253784179688,0,0,0
24,1,2183.7513685422045 1262.5047965425315 2852.815191349894 1892.6807857264362,2456.20703125 1715.517578125 2610.17919921875 1767.9501953125,0.9346446990966797,MT51VSU,0.4218353333042391
25,1,2184.101718632208 1264.4175308696185 2856.3016902069267 1899.0521349752585,2457.4793701171875 1721.8732299804688 2611.8048095703125 1773.51416015625,0,0,0
26,1,2184.452068722211 1266.3302651967053 2859.788189063959 1905.423484224081,2458.751708984375 1728.2288818359375 2613.430419921875 1779.078125,0.51820307970047,MZ51VSU,0.07656752009149248
27,1,2185.4602114410577 1271.6134175801208 2864.155733271206 1913.4293017418727,2460.3291015625 1733.3201293945312 2614.61474609375 1786.5359497070312,0,0,0
28,1,2186.4683541599043 1276.8965699635364 2868.5232774784527 1921.4351192596646,2461.906494140625 1738.411376953125 2615.799072265625 1793.9937744140625,0.8479456305503845,CD51VSV,0.06662395927689176
29,1,2186.889003067762 1282.6526554260165 2872.5688803439107 1927.2915715020697,2463.561279296875 1748.604736328125 2618.069091796875 1798.519775390625,0.8262993693351746,HO51VSU,0.08854507400334767
30,1,2187.3568841412707 1288.1663569638674 2875.583113685501 1935.0833976798576,2466.4244791666665 1755.0586751302083 2621.7089029947915 1805.838134765625,0,0,0
31,1,2187.8247652147793 1293.6800585017183 2878.5973470270906 1942.8752238576458,2469.2876790364585 1761.5126139322917 2625.3487141927085 1813.156494140625,0,0,0
32,1,2188.292646288288 1299.1937600395693 2881.6115803686807 1950.6670500354337,2472.15087890625 1767.966552734375 2628.988525390625 1820.474853515625,0.9074062705039978,CT51VSU,0.06080716043967316
33,1,2188.2228222135723 1303.5952777356056 2885.705508150729 1958.8928222676,2471.7705078125 1776.492431640625 2631.0732421875 1831.6395263671875,0.9104057550430298,ST51YSU,0.1144069052176123
34,1,2189.262801392439 1309.762827700471 2888.6467505962564 1967.2650246904468,2473.6409859035325 1784.2070949388587 2633.3672724184785 1839.3622303838315,0,0,0
35,1,2190.302780571306 1315.9303776653364 2891.5879930417836 1975.6372271132934,2475.511463994565 1791.9217582370925 2635.6613026494565 1847.0849344004755,0,0,0
36,1,2191.342759750173 1322.097927630202 2894.529235487311 1984.0094295361403,2477.381942085598 1799.636421535326 2637.955332880435 1854.8076384171195,0,0,0
37,1,2192.38273892904 1328.2654775950675 2897.4704779328385 1992.3816319589869,2479.2524201766305 1807.3510848335598 2640.249363111413 1862.5303424337635,0,0,0
38,1,2193.422718107907 1334.433027559933 2900.4117203783658 2000.7538343818337,2481.122898267663 1815.0657481317935 2642.5433933423915 1870.2530464504075,0,0,0
39,1,2194.4626972867736 1340.6005775247984 2903.352962823893 2009.1260368046803,2482.9933763586955 1822.7804114300272 2644.8374235733695 1877.9757504670515,0,0,0
40,1,2195.5026764656404 1346.7681274896638 2906.29420526942 2017.4982392275272,2484.8638544497285 1830.4950747282608 2647.131453804348 1885.6984544836957,0,0,0
41,1,2196.5426556445072 1352.9356774545292 2909.2354477149474 2025.8704416503738,2486.734332540761 1838.2097380264945 2649.425484035326 1893.4211585003397,0,0,0
42,1,2197.5826348233745 1359.103227419395 2912.1766901604747 2034.2426440732206,2488.6048106317935 1845.9244013247283 2651.7195142663045 1901.1438625169837,0,0,0
