                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3045,                 3.8077,                 0.9142,                0.92773,                0.89866,                 0.9597,                 0.5903,                 1.3362,                0.75219,                0.89554,             0.00066077,             0.00066077,             0.00066077
                      2,                 1.0587,                0.65292,                0.82626,                0.00291,                0.49444,                0.00207,                0.00128,                  1.723,                    inf,                 1.1467,              0.0012946,              0.0012946,              0.0012946
                      3,                 1.0332,                0.61791,                0.83794,                0.88389,                0.87444,                0.92393,                0.57273,                 1.3128,                0.84294,                0.88295,              0.0018954,              0.0018954,              0.0018954
                      4,                0.97732,                0.54662,                0.82652,                0.84771,                0.79667,                0.84773,                0.54484,                 1.3107,                  1.075,                0.88647,              0.0018515,              0.0018515,              0.0018515
                      5,                0.93131,                0.52416,                0.81909,                0.95479,                0.93866,                0.97385,                0.62581,                  1.257,                0.69339,                0.86854,               0.001802,               0.001802,               0.001802
                      6,                0.87919,                0.48546,                0.80953,                0.92956,                0.88222,                0.95397,                0.61012,                 1.2673,                0.67219,                0.85618,              0.0017525,              0.0017525,              0.0017525
                      7,                 0.8461,                 0.4652,                0.81365,                0.96905,                0.91889,                0.96681,                0.65324,                 1.1835,                  0.672,                0.84786,               0.001703,               0.001703,               0.001703
                      8,                0.81506,                0.45784,                0.80518,                 0.9461,                   0.94,                0.97782,                0.66403,                 1.1582,                0.64176,                0.84744,              0.0016535,              0.0016535,              0.0016535
                      9,                0.80693,                0.44612,                0.80886,                0.95555,                0.95547,                0.98368,                0.66488,                 1.2199,                 0.6483,                0.85853,               0.001604,               0.001604,               0.001604
                     10,                 0.7709,                0.42831,                0.80057,                0.97638,                0.96444,                0.98723,                0.63988,                 1.1607,                0.59613,                 0.8502,              0.0015545,              0.0015545,              0.0015545
                     11,                0.74592,                0.42017,                0.79476,                  0.981,                0.97528,                0.99253,                0.69232,                 1.0974,                0.52878,                0.84971,               0.001505,               0.001505,               0.001505
                     12,                0.72106,                0.40803,                0.79544,                0.97954,                0.95747,                0.98929,                0.65876,                 1.1506,                0.58335,                0.85312,              0.0014555,              0.0014555,              0.0014555
                     13,                0.70231,                0.39879,                0.79149,                0.96969,                 0.9242,                0.96902,                0.68126,                 1.1273,                0.64479,                0.83999,               0.001406,               0.001406,               0.001406
                     14,                 0.7017,                0.38913,                0.79662,                0.96961,                0.93444,                0.97107,                 0.6619,                 1.1516,                0.64248,                0.83835,              0.0013565,              0.0013565,              0.0013565
                     15,                0.68603,                0.38668,                0.79721,                0.96845,                0.95488,                0.98844,                 0.7067,                 1.1031,                0.59429,                0.83649,               0.001307,               0.001307,               0.001307
                     16,                0.67245,                0.37304,                0.79367,                0.95843,                0.97345,                0.98968,                0.69576,                 1.1241,                0.55875,                0.83833,              0.0012575,              0.0012575,              0.0012575
                     17,                0.64733,                0.36571,                0.79344,                  0.966,                   0.93,                0.97541,                0.66497,                 1.1272,                0.61826,                0.83465,               0.001208,               0.001208,               0.001208
                     18,                0.62663,                0.36033,                0.79017,                0.98397,                0.91889,                0.98684,                0.71705,                 1.0978,                0.63281,                0.83802,              0.0011585,              0.0011585,              0.0011585
                     19,                0.62447,                 0.3542,                0.79261,                0.94136,                0.92752,                0.97243,                0.66674,                 1.1224,                0.67721,                0.83764,               0.001109,               0.001109,               0.001109
                     20,                0.61125,                0.35125,                0.79103,                0.93705,                 0.9427,                0.98023,                0.68065,                 1.1136,                0.60441,                0.83606,              0.0010595,              0.0010595,              0.0010595
                     21,                0.59522,                0.34818,                0.78596,                0.96911,                0.90621,                0.96864,                0.67142,                 1.1068,                0.59709,                0.83376,                0.00101,                0.00101,                0.00101
                     22,                0.59225,                0.33978,                0.78609,                0.98362,                0.93393,                0.98568,                0.69456,                 1.0748,                0.58624,                0.82981,              0.0009605,              0.0009605,              0.0009605
                     23,                0.57397,                0.33464,                0.78601,                0.97047,                0.93667,                0.98453,                0.68302,                 1.0984,                0.57805,                0.84048,               0.000911,               0.000911,               0.000911
                     24,                0.57205,                0.32863,                0.78405,                0.97699,                0.92889,                0.98248,                0.68231,                 1.1186,                0.63812,                0.83543,              0.0008615,              0.0008615,              0.0008615
                     25,                0.57182,                0.32229,                0.78404,                0.96744,                0.95743,                0.99029,                0.72567,                 1.0428,                0.56376,                0.83002,               0.000812,               0.000812,               0.000812
                     26,                0.55733,                0.31439,                0.77978,                0.97954,                0.94444,                0.98415,                0.68605,                 1.1257,                0.60434,                0.84124,              0.0007625,              0.0007625,              0.0007625
                     27,                0.54707,                 0.3109,                  0.777,                0.98705,                0.93778,                0.98938,                0.69751,                 1.1101,                0.56741,                  0.834,               0.000713,               0.000713,               0.000713
                     28,                0.53335,                0.29846,                0.78468,                0.96959,                0.95556,                0.98702,                0.68045,                 1.1419,                0.57058,                0.84328,              0.0006635,              0.0006635,              0.0006635
                     29,                0.51083,                 0.2935,                0.78299,                0.95339,                0.96222,                 0.9868,                0.69731,                 1.0919,                0.56097,                 0.8346,               0.000614,               0.000614,               0.000614
