                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1524,                 1.3805,                 0.8643,                0.47387,                0.40333,                0.35162,                0.20058,                 2.2828,                 2.2922,                 1.3701,              0.0006637,              0.0006637,              0.0006637
                      2,                 1.1113,                0.70234,                0.83834,                0.89551,                0.54667,                0.63781,                0.36326,                 1.8148,                  1.419,                 1.0963,              0.0013238,              0.0013238,              0.0013238
                      3,                 1.0872,                 0.6324,                0.83506,                0.49421,                0.74585,                0.46896,                0.27285,                  1.451,                 1.8084,                0.92632,              0.0019773,              0.0019773,              0.0019773
                      4,                 1.0431,                0.57848,                 0.8356,                0.94178,                0.82222,                0.88855,                 0.5826,                 1.2257,                0.83296,                0.86448,              0.0019703,              0.0019703,              0.0019703
                      5,                 0.9941,                0.55408,                0.82891,                0.96404,                0.89358,                0.95836,                0.62642,                 1.2412,                0.79642,                0.87927,              0.0019604,              0.0019604,              0.0019604
                      6,                0.85831,                0.48109,                0.81244,                0.95249,                0.91328,                0.97421,                0.64058,                 1.1778,                0.58946,                 0.8684,              0.0019505,              0.0019505,              0.0019505
                      7,                0.87078,                0.47806,                0.80634,                0.94985,                0.85889,                0.93946,                0.59142,                 1.3428,                0.74317,                0.87318,              0.0019406,              0.0019406,              0.0019406
                      8,                 0.8267,                 0.4453,                0.80806,                0.92926,                0.82111,                0.87206,                0.57468,                 1.2969,                0.81437,                0.87846,              0.0019307,              0.0019307,              0.0019307
                      9,                0.80339,                0.43771,                0.80474,                0.78136,                   0.89,                0.78829,                0.51073,                 1.1966,                0.92156,                0.87052,              0.0019208,              0.0019208,              0.0019208
                     10,                0.77697,                0.41569,                0.80611,                0.96403,                0.89328,                0.96511,                0.66284,                 1.1479,                0.62562,                0.84449,              0.0019109,              0.0019109,              0.0019109
                     11,                0.76336,                0.41427,                0.79237,                0.93786,                0.91556,                0.96004,                0.59244,                 1.3017,                0.66252,                 0.8556,               0.001901,               0.001901,               0.001901
                     12,                0.74806,                0.41648,                0.79621,                0.97799,                0.92889,                0.98514,                0.66364,                 1.1316,                0.57625,                0.84521,              0.0018911,              0.0018911,              0.0018911
                     13,                0.76417,                0.40623,                0.79909,                0.94865,                0.90323,                 0.9675,                 0.6552,                 1.1572,                0.61323,                0.85955,              0.0018812,              0.0018812,              0.0018812
                     14,                 0.7075,                0.38371,                0.79258,                0.92227,                0.91222,                0.96482,                0.62584,                 1.1964,                0.61347,                 0.8791,              0.0018713,              0.0018713,              0.0018713
                     15,                0.73848,                0.40007,                0.79343,                 0.9565,                0.96444,                0.98726,                0.69628,                 1.1243,                0.54626,                0.85058,              0.0018614,              0.0018614,              0.0018614
                     16,                0.71272,                0.37669,                0.79493,                0.96407,                0.95111,                0.98654,                0.65287,                 1.1888,                0.56938,                0.86815,              0.0018515,              0.0018515,              0.0018515
                     17,                0.69257,                0.36492,                0.79494,                0.95004,                0.92556,                0.97592,                0.65584,                 1.1848,                0.57286,                0.85902,              0.0018416,              0.0018416,              0.0018416
                     18,                0.65434,                0.35962,                0.79126,                0.96273,                 0.9184,                0.97307,                0.67994,                 1.0678,                0.56974,                0.84667,              0.0018317,              0.0018317,              0.0018317
                     19,                0.66464,                0.35609,                0.79311,                0.96706,                0.90667,                0.96123,                0.66032,                  1.114,                0.66699,                0.83742,              0.0018218,              0.0018218,              0.0018218
                     20,                0.65025,                0.34813,                0.78378,                0.99288,                0.93023,                0.97503,                 0.6724,                 1.1474,                0.64955,                0.84875,              0.0018119,              0.0018119,              0.0018119
                     21,                 0.6708,                0.35676,                0.78672,                 0.9802,                0.93521,                0.97198,                0.63969,                 1.1783,                0.61582,                0.85898,               0.001802,               0.001802,               0.001802
                     22,                0.63358,                0.34267,                0.79379,                0.97729,                0.95616,                 0.9864,                0.66904,                 1.1104,                0.52337,                0.85208,              0.0017921,              0.0017921,              0.0017921
                     23,                0.64746,                0.35481,                0.78976,                0.98119,                0.92715,                  0.976,                0.68489,                 1.1302,                0.66642,                0.86555,              0.0017822,              0.0017822,              0.0017822
                     24,                0.66445,                 0.3582,                0.79245,                0.95264,                0.92778,                0.97831,                0.66973,                 1.0967,                0.58953,                0.84444,              0.0017723,              0.0017723,              0.0017723
                     25,                0.63834,                0.34502,                0.78986,                0.96831,                0.91657,                0.96675,                0.69076,                 1.0704,                0.66239,                0.85794,              0.0017624,              0.0017624,              0.0017624
                     26,                0.61565,                0.33801,                0.78637,                0.96442,                0.93365,                0.96885,                0.64883,                 1.1112,                0.57576,                  0.846,              0.0017525,              0.0017525,              0.0017525
                     27,                0.64887,                0.34973,                0.78604,                0.97041,                0.94741,                0.98468,                0.67482,                  1.095,                0.54836,                0.85912,              0.0017426,              0.0017426,              0.0017426
                     28,                0.63766,                0.35371,                0.78523,                0.95735,                0.91556,                0.98069,                 0.6796,                 1.0851,                0.64209,                0.85574,              0.0017327,              0.0017327,              0.0017327
                     29,                0.61929,                0.33983,                0.78812,                0.96622,                0.92222,                0.97019,                0.64741,                 1.1212,                0.58981,                0.84825,              0.0017228,              0.0017228,              0.0017228
                     30,                0.62921,                 0.3432,                0.78861,                 0.9785,                0.91007,                0.96921,                0.66621,                 1.1387,                0.64237,                0.85197,              0.0017129,              0.0017129,              0.0017129
                     31,                0.60278,                0.33213,                0.78883,                0.98087,                0.93556,                0.98338,                0.71394,                 1.0313,                 0.5847,                0.83931,               0.001703,               0.001703,               0.001703
                     32,                0.59291,                0.32123,                0.78902,                 0.9632,                0.90889,                0.95176,                0.67812,                 1.0982,                0.62593,                0.85027,              0.0016931,              0.0016931,              0.0016931
                     33,                0.61324,                0.34073,                0.78588,                 0.9684,                0.89222,                0.96035,                0.67331,                 1.0704,                0.67122,                0.84068,              0.0016832,              0.0016832,              0.0016832
                     34,                0.59809,                0.33319,                 0.7867,                0.95586,                0.90556,                0.96152,                0.67002,                 1.0862,                0.66408,                0.84618,              0.0016733,              0.0016733,              0.0016733
                     35,                0.60242,                 0.3367,                0.78746,                0.95938,                0.90667,                0.95472,                0.66374,                 1.1064,                0.73147,                0.84061,              0.0016634,              0.0016634,              0.0016634
                     36,                0.59901,                0.34062,                0.78776,                0.97475,                0.90061,                0.95651,                0.67492,                 1.0978,                 0.7104,                0.84442,              0.0016535,              0.0016535,              0.0016535
                     37,                0.60843,                0.33633,                0.78601,                0.96605,                0.88889,                0.95431,                0.69783,                 1.0268,                0.72821,                0.83036,              0.0016436,              0.0016436,              0.0016436
                     38,                0.57479,                0.32607,                0.78793,                0.98188,                0.90305,                0.96246,                0.66613,                 1.0907,                0.68709,                0.84933,              0.0016337,              0.0016337,              0.0016337
                     39,                 0.5727,                0.32863,                0.78645,                0.98059,                0.88444,                0.95138,                0.68885,                 1.0341,                0.79212,                0.83593,              0.0016238,              0.0016238,              0.0016238
